Units,Maneuvers,Probability,Fill,Avg time,Min Time,Max Time,Solution type,Avg solution,Avg iterations,Avg nodes,Avg cuts Clique,Avg cuts Cover,Avg cuts Disjunctive,Avg cuts Flow cover,Avg cuts Gomory,Avg cuts GUB,Avg cuts zero-half,Avg cuts lift and projects,Total avg cuts
10.0,5.0,0.5999999999999999,0.39999999999999997,0.01309950351715088,0.011946439743041992,0.015994548797607422,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.5999999999999999,0.5,0.014602303504943848,0.013000249862670898,0.015028238296508789,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.5999999999999999,0.5999999999999999,0.015999841690063476,0.014998435974121094,0.0189971923828125,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.5999999999999999,0.7000000000000001,0.016600751876831056,0.0149993896484375,0.019002437591552734,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.5999999999999999,0.7999999999999999,0.017591142654418947,0.01500082015991211,0.020940303802490234,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.5999999999999999,0.9000000000000001,0.01810154914855957,0.016998291015625,0.01899886131286621,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.7999999999999999,0.09999999999999999,0.009200000762939453,0.007001638412475586,0.012000560760498047,integer optimal solution,2.1,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.7999999999999999,0.19999999999999998,0.018691754341125487,0.010002374649047852,0.032991886138916016,integer optimal solution,3.0,71.5,0.0,0.6,0.0,0.0,0.0,0.5,0.0,3.8,0.4,5.3
10.0,5.0,0.7999999999999999,0.3,0.013889630635579428,0.010000467300415039,0.02400374412536621,integer optimal solution,2.3333333333333335,15.666666666666666,0.0,0.7777777777777778,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.4444444444444444
10.0,5.0,0.8,0.3,0.012000322341918945,0.012000322341918945,0.012000322341918945,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.7999999999999999,0.39999999999999997,0.013110611173841689,0.012000083923339844,0.014000654220581055,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.8,0.4,0.012000799179077148,0.012000799179077148,0.012000799179077148,integer optimal solution,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.7999999999999999,0.5,0.014799928665161133,0.013999223709106445,0.017000913619995117,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.7999999999999999,0.5999999999999999,0.016601085662841797,0.014000415802001953,0.01896953582763672,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.7999999999999999,0.7000000000000001,0.01640026569366455,0.014998912811279297,0.01799488067626953,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.7999999999999999,0.7999999999999999,0.017501044273376464,0.014998674392700195,0.019994258880615234,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,0.7999999999999999,0.9000000000000001,0.021106266975402833,0.017002344131469727,0.028985261917114258,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.09999999999999999,0.008701515197753907,0.00800013542175293,0.010002851486206055,integer optimal solution,1.7,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.19999999999999998,0.01930084228515625,0.009002685546875,0.07199907302856445,integer optimal solution,3.5,39.3,0.0,0.7,0.0,0.0,0.0,1.1,0.0,1.9,0.3,4.0
10.0,5.0,1.0,0.3,0.012000799179077148,0.012000799179077148,0.012000799179077148,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.3,0.013222297032674154,0.010996580123901367,0.01800060272216797,integer optimal solution,1.8888888888888888,2.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.4,0.015063285827636719,0.015063285827636719,0.015063285827636719,integer optimal solution,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.39999999999999997,0.017444160249498155,0.014998674392700195,0.023999929428100586,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,5.0,1.0,0.5,0.01570096015930176,0.013000011444091797,0.020999670028686523,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
